ID,Ten,Mon1,Mon2,Mon3,TongDiem,NV1,NV2
42,TRẦN THỊ THÙY DƯƠNG,6.25,6.5,7.75,20.5,4,5
43,NGÔ THỊ HƯƠNG HUỆ,6.25,8.5,9.75,24.5,2,3
44,LÔ THỊ LINH,8.25,8.5,7.75,24.5,5,6
45,NGUYỄN THỊ BÍCH NGỌC,7.25,9.5,9.75,26.5,5,6
46,VŨ THỊ QUỲNH,9.25,7.5,7.75,24.5,2,3
47,BÙI NGỌC PHƯƠNG THẢO,8.25,8.5,6.75,23.5,2,3
48,MAI KIM THƯ,7.25,8.5,6.75,22.5,3,4
49,NGUYỄN THU UYÊN,9.25,7.5,6.75,23.5,5,6
50,HÀ THU THẢO,6.25,9.5,7.75,23.5,4,5
51,TRẦN THỊ HẠNH,7.25,7.5,7.75,22.5,4,5
52,NGUYỄN THỊ BÍCH LAN,8.25,9.5,8.75,26.5,4,5
53,NGUYỄN THỊ HOA,7.25,6.5,6.75,20.5,2,3
54,NGUYỄN THỊ THU THÚY,9.25,7.5,6.75,23.5,1,2
55,TRƯƠNG THỊ NGÂN,6.25,6.5,7.75,20.5,4,5
56,NGUYỄN TUẤN ANH,7.25,8.5,7.75,23.5,3,4
57,NGUYỄN NHƯ HẢI,9.25,6.5,8.75,24.5,1,2
58,ĐÀO THỊ LỆ,8.25,8.5,7.75,24.5,4,5
59,VŨ LỆ THỦY,6.25,9.5,9.75,25.5,1,2
60,LƯƠNG BẢO NHUNG,9.25,6.5,7.75,23.5,4,5
61,PHẠM THỊ LÝ,7.25,8.5,6.75,22.5,2,3
62,ĐƯỜNG KIM CHI,8.25,7.5,9.75,25.5,3,4
63,NGUYỄN THỊ THANH VÂN,6.25,7.5,9.75,23.5,2,3
64,NGUYỄN THỊ TỐ LINH,9.25,9.5,8.75,27.5,5,6
65,CAO THỊ KIM NHUNG,9.25,6.5,9.75,25.5,4,5
66,NGUYỄN THỊ MAI,7.25,9.5,7.75,24.5,2,3
67,TẠ HOÀNG TIẾN,7.25,9.5,9.75,26.5,4,5
68,PHẠM MAI KHANH,7.25,7.5,7.75,22.5,3,4
69,NGUYỄN THỊ TRANG,9.25,8.5,8.75,26.5,5,6
70,NGUYỄN THỊ VÂN ANH,6.25,7.5,6.75,20.5,2,3
71,HOÀNG PHƯƠNG THẢO,8.25,9.5,7.75,25.5,4,5
72,ĐINH THỊ HẠNH YẾN,6.25,9.5,7.75,23.5,3,4
73,BÙI CẨM VÂN,8.25,8.5,8.75,25.5,1,2
74,TỐNG TRẦN DŨNG,8.25,9.5,7.75,25.5,4,5
75,ĐINH THỊ TRANG,8.25,7.5,8.75,24.5,5,6
76,NGÔ HƯƠNG QUỲNH,8.25,7.5,7.75,23.5,2,3
77,TRẦN PHƯƠNG THẢO,7.25,7.5,8.75,23.5,2,3
78,ĐINH THỊ HIỀN LƯƠNG,7.25,6.5,8.75,22.5,3,4
79,NGUYỄN MAI NHẬT HẰNG,9.25,9.5,7.75,26.5,2,3
80,TRẦN MINH QUANG,9.25,6.5,8.75,24.5,2,3
81,PHẠM THÙY LINH,9.25,9.5,7.75,26.5,3,4
82,NGUYỄN PHƯƠNG THẢO,7.25,6.5,8.75,22.5,3,4
83,TÔ VĂN CƯỜNG,6.25,8.5,7.75,22.5,5,6
84,NGUYỄN THỊ KHÁNH LINH,8.25,9.5,6.75,24.5,3,4
85,HOÀNG HẢI YẾN,8.25,9.5,8.75,26.5,3,4
86,ĐẶNG KIM TRANG,7.25,7.5,7.75,22.5,5,6
87,LÊ GIA TUẤN,6.25,8.5,9.75,24.5,2,3
88,PHAN THỊ BẢO LINH,9.25,6.5,8.75,24.5,2,3
89,NGUYỄN THỊ THÚY NGÂN,8.25,9.5,8.75,26.5,1,2
90,NGUYỄN VÕ SƠN HOÀNG,8.25,7.5,9.75,25.5,3,4
91,HOÀNG ĐĂNG TRƯỜNG,7.25,6.5,8.75,22.5,2,3
92,PHẠM BÌNH MINH,9.25,9.5,6.75,25.5,5,6
93,NGUYỄN THỊ THẢO,8.25,6.5,9.75,24.5,2,3
94,CAO BÁ LINH,8.25,7.5,6.75,22.5,1,2
95,NGUYỄN THỊ MY,6.25,6.5,8.75,21.5,4,5
96,NGUYỄN THỊ TRANG,9.25,6.5,6.75,22.5,2,3
97,NGUYỄN XUÂN HIẾU,9.25,9.5,6.75,25.5,1,2
98,PHẠM THANH HUYỀN,6.25,6.5,8.75,21.5,5,6
99,NGUYỄN VIỆT TÂN,7.25,7.5,9.75,24.5,5,6
100,ĐỖ HỒNG GIANG,7.25,6.5,6.75,20.5,5,6
101,PHẠM VĂN QUÂN,7.25,9.5,8.75,25.5,3,4
102,NGUYỄN ĐOÀN BẢO LÂM,6.25,8.5,6.75,21.5,5,6
103,PHAN KIM NGÂN,7.25,8.5,8.75,24.5,4,5
104,LÊ NGỌC HÀ,6.25,6.5,6.75,19.5,2,3
105,NGUYỄN PHÚC QUANG ANH,8.25,7.5,8.75,24.5,3,4
106,NGUYỄN PHƯƠNG ANH,7.25,7.5,6.75,21.5,4,5
107,LÊ VĂN ĐỨC,6.25,8.5,9.75,24.5,4,5
108,ĐỖ THỊ TRANG,8.25,8.5,6.75,23.5,1,2
109,NGUYỄN THUỲ TRANG,9.25,6.5,9.75,25.5,3,4
110,NGUYỄN TRỊNH THU THẢO,7.25,7.5,8.75,23.5,4,5
111,PHẠM THỊ NHUNG,6.25,6.5,8.75,21.5,5,6
112,ĐỖ THỊ NGỌC ÁNH,8.25,9.5,6.75,24.5,4,5
113,ĐOÀN THỊ VÂN ANH,7.25,9.5,6.75,23.5,5,6
114,NGUYỄN BÁ QUỐC MẠNH,7.25,6.5,9.75,23.5,5,6
115,HÀ KIỀU ANH,8.25,6.5,7.75,22.5,5,6
116,TRẦN QUANG HIẾU,8.25,7.5,6.75,22.5,3,4
117,HOÀNG THỊ NGỌC HUYỀN,8.25,6.5,7.75,22.5,2,3
118,ĐỖ THÙY LINH,6.25,7.5,8.75,22.5,1,2
119,ĐỖ THỊ HẢI YẾN,7.25,8.5,7.75,23.5,3,4
120,NGÔ THU HƯƠNG,7.25,7.5,7.75,22.5,5,6
121,LÊ THỊ HƯƠNG,8.25,9.5,6.75,24.5,2,3
122,TRẦN VIỆT PHONG,6.25,7.5,6.75,20.5,3,4
123,NGUYỄN THỊ KIM HUỆ,8.25,9.5,8.75,26.5,5,6
124,NGUYỄN THỊ THU THUỶ,7.25,8.5,6.75,22.5,4,5
125,LÊ TIẾN DŨNG,8.25,8.5,7.75,24.5,1,2
126,ĐỖ THỊ TÂM,6.25,7.5,9.75,23.5,3,4
127,ĐẶNG THI MAI HƯƠNG,9.25,7.5,7.75,24.5,3,4
128,HÀ HẢI AN,6.25,6.5,7.75,20.5,4,5
129,HOÀNG KIM THẢO,8.25,7.5,9.75,25.5,3,4
130,NGUYỄN TUYẾT MAI,9.25,8.5,7.75,25.5,2,3
131,NGUYỄN THỊ PHƯƠNG ANH,6.25,6.5,7.75,20.5,4,5
132,VŨ THỊ MINH HẰNG,8.25,7.5,9.75,25.5,3,4
133,TRẦN THỊ PHƯƠNG THẢO,6.25,9.5,8.75,24.5,2,3
134,PHẠM TRUNG ĐỨC,7.25,7.5,6.75,21.5,1,2
135,HỒ THỊ DUNG,8.25,7.5,9.75,25.5,2,3
136,TRẦN THỊ THU HƯỜNG,6.25,8.5,9.75,24.5,4,5
137,NGUYỄN TẤT ĐẠT,8.25,6.5,6.75,21.5,1,2
138,PHẠM ANH TÚ,6.25,9.5,9.75,25.5,5,6
139,TRẦN THỊ MINH HẰNG,6.25,6.5,7.75,20.5,1,2
140,VŨ HƯƠNG GIANG,8.25,6.5,8.75,23.5,2,3
141,TRƯƠNG THỊ THÚY HẰNG,8.25,7.5,6.75,22.5,2,3
142,ĐỖ THỊ THANH NHÀN,9.25,9.5,7.75,26.5,2,3
143,NGUYỄN THỊ PHƯƠNG ANH,7.25,7.5,8.75,23.5,1,2
144,TRẦN ANH TUẤN,9.25,7.5,7.75,24.5,2,3
145,BÙI MINH ANH,6.25,7.5,8.75,22.5,1,2
146,LÊ THỊ DUNG,9.25,8.5,6.75,24.5,2,3
147,LÊ THỊ PHƯƠNG ANH,9.25,9.5,9.75,28.5,1,2
148,ĐINH TRỌNG ANH ĐỨC,6.25,7.5,6.75,20.5,2,3
149,ĐOÀN THỊ NGÂN,7.25,8.5,8.75,24.5,3,4
150,VŨ MẠNH LONG,8.25,9.5,7.75,25.5,4,5
151,LÊ LƯƠNG TUẤN ANH,7.25,7.5,7.75,22.5,2,3
152,NGUYỄN VĂN TÚ,7.25,8.5,6.75,22.5,2,3
153,LÊ PHƯƠNG LAN,6.25,7.5,8.75,22.5,3,4
154,LÊ THỊ THOAN,7.25,8.5,8.75,24.5,4,5
155,ĐỖ THÁI SƠN,9.25,7.5,7.75,24.5,3,4
156,TRẦN VIẾT CÔNG,8.25,6.5,6.75,21.5,5,6
157,NGUYỄN THANH XUÂN,7.25,9.5,7.75,24.5,3,4
158,LÊ THỊ THANH HUYỀN,9.25,6.5,8.75,24.5,2,3
159,NGUYỄN THỊ PHƯỢNG,7.25,7.5,9.75,24.5,5,6
160,DƯƠNG THU NGÂN,9.25,7.5,9.75,26.5,5,6
161,NGUYỄN QUẾ PHƯƠNG,8.25,8.5,8.75,25.5,4,5
162,ĐÀO NGUYỄN CHÍ MINH,6.25,6.5,8.75,21.5,3,4
163,NGUYỄN THANH TÙNG,8.25,8.5,9.75,26.5,4,5
164,PHẠM THỊ THỦY,6.25,7.5,9.75,23.5,5,6
165,NGUYỄN THỊ HUYỀN,8.25,7.5,9.75,25.5,5,6
166,NGÔ THẾ THẮNG,9.25,7.5,8.75,25.5,5,6
167,NGUYỄN HẢI HƯNG,8.25,8.5,6.75,23.5,5,6
168,NGUYỄN THỊ TIỂU NGỌC,9.25,8.5,9.75,27.5,3,4
169,NGÔ HÀ PHƯƠNG,6.25,6.5,6.75,19.5,6,2
170,NGUYỄN ANH TUẤN,8.25,9.5,6.75,24.5,4,5
171,NGUYỄN MINH ANH,7.25,9.5,9.75,26.5,3,4
172,TRẦN THỊ KHÁNH LINH,9.25,7.5,8.75,25.5,4,5
173,NGUYỄN NGỌC HẠNH,7.25,6.5,6.75,20.5,3,4
174,NGUYỄN THỊ HẠNH,9.25,6.5,7.75,23.5,5,6
175,TRƯƠNG THỊ NGỌC PHƯƠNG,9.25,7.5,9.75,26.5,1,2
176,NGUYỄN QUANG TIẾN,6.25,6.5,9.75,22.5,3,4
177,NGUYỄN THU HUYỀN,6.25,7.5,6.75,20.5,6,2
178,ĐẶNG QUỐC ĐÁT,8.25,8.5,8.75,25.5,5,6
179,LÊ THU TRANG,6.25,6.5,8.75,21.5,2,3
180,PHAN THỊ VÂN,9.25,7.5,8.75,25.5,3,4
181,DƯƠNG THỊ THU TRANG,9.25,7.5,9.75,26.5,6,5
182,PHẠM HỒ ANH TÚ,7.25,6.5,9.75,23.5,2,3
183,LÊ VÂN QUỲNH,7.25,7.5,8.75,23.5,5,6
184,PHẠM HÀ ANH,6.25,6.5,6.75,19.5,6,5
185,NGUYỄN VĂN GIANG,8.25,6.5,7.75,22.5,4,5
186,VŨ QUANG ANH,7.25,6.5,7.75,21.5,4,5
187,ĐINH THỊ HẠNH,7.25,8.5,7.75,23.5,6,2
188,NGUYỄN NGỌC QUỲNH MAI,6.25,9.5,8.75,24.5,2,3
189,NGUYỄN VIẾT HIẾU,9.25,8.5,6.75,24.5,2,3
190,LÊ DUY HOÀNG,9.25,9.5,7.75,26.5,2,3
191,BÙI DƯƠNG MINH THẮNG,8.25,8.5,8.75,25.5,6,3
192,NGUYỄN THỊ THU NGA,7.25,8.5,9.75,25.5,3,4
193,HOÀNG PHƯƠNG ANH,7.25,6.5,6.75,20.5,2,3
194,NGUYỄN QUANG HÀO,9.25,7.5,7.75,24.5,3,4
195,NGUYỄN KHÁNH,6.25,9.5,8.75,24.5,6,2
196,NGUYỄN PHƯƠNG ANH,9.25,8.5,9.75,27.5,3,4
197,NGUYỄN VIỆT CƯỜNG,9.25,6.5,9.75,25.5,3,4
198,LÊ DIỄM THUỲ,6.25,8.5,8.75,23.5,6,5
199,TRẦN TUẤN KIỆT,9.25,7.5,8.75,25.5,3,4
200,LÊ HÀ PHƯƠNG,6.25,6.5,9.75,22.5,2,3
201,VŨ THÚY LAN,8.25,7.5,8.75,24.5,1,2
202,PHẠM QUANG DŨNG,7.25,7.5,9.75,24.5,5,6
203,NGUYỄN VĂN TUẤN,7.25,9.5,9.75,26.5,6,6
204,TRẦN NGỌC KÝ,9.25,8.5,6.75,24.5,2,3
205,HOÀNG ĐỨC ANH,6.25,8.5,6.75,21.5,3,4
206,TRẦN THỊ NGỌC ÁNH,8.25,7.5,7.75,23.5,3,4
207,LÊ NHO QUANG SƠN,9.25,7.5,7.75,24.5,2,3
208,NGUYỄN THỊ THANH HUYỀN,6.25,8.5,6.75,21.5,1,2
209,TRẦN THỊ HƯƠNG,9.25,6.5,9.75,25.5,6,2
210,LUYỆN NGỌC TÂN,6.25,6.5,7.75,20.5,5,6
211,NGUYỄN GIA LINH,6.25,6.5,8.75,21.5,2,3
212,NGUYỄN THỊ THANH HƯƠNG,9.25,9.5,9.75,28.5,1,2
213,VÕ HÀ PHƯƠNG,7.25,8.5,6.75,22.5,6,2
214,LÊ THỊ VÂN ANH,9.25,6.5,6.75,22.5,3,4
215,LẠI THỊ KHÁNH HUYỀN,7.25,9.5,7.75,24.5,1,2
216,ĐỖ THANH NAM,9.25,6.5,8.75,24.5,3,4
217,TRỊNH QUỲNH CHI,8.25,9.5,8.75,26.5,2,3
218,LƯƠNG THỊ MY,9.25,8.5,8.75,26.5,6,5
219,LƯU THỊ HUYỀN TRANG,6.25,6.5,8.75,21.5,4,5
220,ĐOÀN MAI PHƯƠNG,7.25,9.5,6.75,23.5,3,4
221,TRẦN GIA THÁI,9.25,8.5,7.75,25.5,6,2
222,NGUYỄN CHÍ CÔNG,7.25,7.5,7.75,22.5,2,3
223,LÝ TRẦN TUẤN ANH,7.25,8.5,9.75,25.5,3,4
224,NGUYỄN LINH CHI,7.25,6.5,9.75,23.5,5,6
225,ĐỖ THỊ THU HẢO,8.25,9.5,8.75,26.5,5,6
226,DƯƠNG HUYỀN TRANG,8.25,6.5,9.75,24.5,5,6
227,TRẦN THẾ HOÀNG,9.25,7.5,8.75,25.5,5,6
228,ĐINH THU HƯƠNG,9.25,6.5,7.75,23.5,2,3
229,BÙI THÚY HẰNG,6.25,6.5,8.75,21.5,5,6
230,NGUYỄN THÀNH ĐẠT,7.25,7.5,7.75,22.5,5,6
231,ĐẶNG MINH TUẤN,6.25,7.5,6.75,20.5,5,6
232,NGUYỄN PHƯƠNG ANH,9.25,8.5,9.75,27.5,3,4
233,VŨ VIỆT DŨNG,6.25,6.5,9.75,22.5,4,5
234,BÙI NGỌC SƠN,7.25,6.5,6.75,20.5,4,5
235,PHẠM THỊ HẰNG,9.25,6.5,6.75,22.5,3,4
236,NGUYỄN THU HẠNH,8.25,7.5,9.75,25.5,1,2
237,NGUYỄN QUANG MINH,6.25,7.5,7.75,21.5,5,6
238,DƯƠNG NGỌC ĐỨC,7.25,8.5,9.75,25.5,5,6
239,LÊ GIA KHẢI,6.25,7.5,9.75,23.5,2,3
240,LÊ THÚY ANH,6.25,7.5,7.75,21.5,4,5
241,TRẦN ĐỨC TRUNG,7.25,7.5,6.75,21.5,4,5
242,LÊ THỊ HẢI LY,8.25,8.5,8.75,25.5,5,6
243,ĐỖ THUỲ TRANG,9.25,6.5,7.75,23.5,3,4
244,NGUYỄN ĐỨC TRUNG,8.25,6.5,6.75,21.5,2,3
245,PHAN THỊ PHƯƠNG ANH,6.25,8.5,8.75,23.5,4,5
246,NGUYỄN THÀNH ĐẠT,7.25,9.5,6.75,23.5,4,5
247,NGUYỄN TRỌNG TRUNG,9.25,8.5,7.75,25.5,4,5
248,PHÙNG PHƯƠNG HUỆ,9.25,7.5,8.75,25.5,3,4
249,NGUYỄN THỊ HOA,9.25,8.5,9.75,27.5,4,5
250,NGUYỄN THỊ MINH THƯ,8.25,8.5,7.75,24.5,4,5
251,HÀ QUANG ANH,6.25,7.5,8.75,22.5,3,4
252,ĐOÀN QUANG ANH,9.25,6.5,8.75,24.5,2,3
253,NGUYỄN HƯƠNG GIANG,7.25,9.5,6.75,23.5,5,6
254,VŨ THẾ SƠN,7.25,6.5,6.75,20.5,4,5
255,TRẦN THỊ HOA,7.25,8.5,8.75,24.5,2,3
256,NGUYỄN THỊ TRANG LINH,8.25,8.5,9.75,26.5,3,4
257,NGUYỄN NAM HẢI,6.25,6.5,8.75,21.5,4,5
258,TRẦN THỊ LỆ QUYÊN,6.25,9.5,6.75,22.5,3,4
259,VŨ ĐÌNH TOÀN,7.25,8.5,7.75,23.5,3,4
260,HOÀNG MINH ĐỨC,7.25,9.5,7.75,24.5,4,5
261,BÙI THỊ BÍCH HẠNH,9.25,6.5,7.75,23.5,4,5
262,LÊ HOÀNG HIẾU,7.25,7.5,7.75,22.5,3,4
263,HOÀNG VĂN TRỌNG,7.25,8.5,6.75,22.5,4,5
264,NGUYỄN THỊ HẰNG,6.25,6.5,8.75,21.5,1,2
265,NGUYỄN TÔ MINH,9.25,6.5,8.75,24.5,2,3
266,HỒ MINH ĐỨC,7.25,6.5,8.75,22.5,5,6
267,NGUYỄN THỊ THỦY,7.25,9.5,9.75,26.5,5,6
268,LÊ ĐỨC CÔNG,8.25,8.5,9.75,26.5,5,6
269,NGUYỄN THỊ HƯƠNG MAI,6.25,7.5,9.75,23.5,1,2
270,NGUYỄN XUÂN BẮC,7.25,9.5,7.75,24.5,4,5
271,PHẠM THỊ TUYẾT,7.25,7.5,7.75,22.5,1,2
272,LƯƠNG THỊ THÀNH,6.25,8.5,7.75,22.5,1,2
273,PHẠM DIỆU THU,6.25,8.5,8.75,23.5,1,2
274,TẠ NGỌC BÍCH,6.25,9.5,8.75,24.5,4,5
275,TRẦN THỊ HỒNG ANH,8.25,7.5,9.75,25.5,2,3
276,TRẦN TÙNG LÂM,7.25,9.5,7.75,24.5,3,4
277,DƯƠNG TRỌNG MINH,9.25,8.5,7.75,25.5,1,2
278,NGUYỄN HỒNG PHÚC,8.25,6.5,8.75,23.5,1,2
279,NGÔ MINH HẰNG,7.25,7.5,9.75,24.5,2,3
280,NGUYỄN HỮU TÙNG,8.25,8.5,6.75,23.5,3,4
281,ĐẶNG ĐỨC ANH,9.25,6.5,7.75,23.5,1,2
282,NGUYỄN NGUYỆT MINH,7.25,8.5,7.75,23.5,1,2
283,NGUYỄN THỊ HẰNG,6.25,7.5,6.75,20.5,4,5
284,NGUYỄN ĐỨC HOÀNG,7.25,6.5,9.75,23.5,1,2
285,TRẦN HOÀNG NAM,8.25,8.5,7.75,24.5,5,6
286,TRẦN THỊ QUỲNH ANH,7.25,9.5,9.75,26.5,4,5
287,PHẠM HƯƠNG MAI,9.25,6.5,6.75,22.5,5,6
288,TRỊNH THỊ HIỀN,6.25,8.5,9.75,24.5,3,4
289,NGÔ THỊ NGÂN HOA,9.25,7.5,6.75,23.5,4,5
290,LÊ THỊ MINH ANH,9.25,7.5,7.75,24.5,1,2
291,TRẦN ĐÌNH TÂN,7.25,6.5,8.75,22.5,5,6
292,TẠ MINH NGỌC,9.25,7.5,8.75,25.5,2,3
293,NGUYỄN THỊ QUỲNH TRANG,9.25,8.5,6.75,24.5,4,5
294,VŨ HỒNG SƠN,6.25,7.5,7.75,21.5,4,5
295,ĐỖ TRỌNG TÙNG,8.25,8.5,9.75,26.5,1,2
296,BÙI THỊ THU HẰNG,8.25,7.5,8.75,24.5,2,3
297,NGUYỄN THÀNH LONG,9.25,7.5,6.75,23.5,5,6
298,VÕ TRÍ QUANG,8.25,7.5,6.75,22.5,2,3
299,ĐẶNG THỊ LOAN,6.25,6.5,7.75,20.5,3,4
300,VŨ THỊ MINH TRANG,8.25,6.5,6.75,21.5,4,5
301,TRẦN HUY HIỆP,7.25,8.5,9.75,25.5,3,4
302,TÔ MAI HƯƠNG,9.25,7.5,6.75,23.5,4,5
303,BÙI THỊ PHƯƠNG HÀ,6.25,9.5,6.75,22.5,3,4
304,PHẠM NHẬT ANH,9.25,9.5,6.75,25.5,1,2
305,DƯƠNG TUẤN ANH,9.25,9.5,9.75,28.5,3,4
306,HOÀNG THUÝ AN,8.25,7.5,7.75,23.5,3,4
307,VŨ CÔNG HIẾU,7.25,8.5,8.75,24.5,1,2
308,HÀ THỊ NGUYỆT,6.25,9.5,9.75,25.5,5,6
309,NGUYỄN ĐÌNH THÀNH,8.25,8.5,6.75,23.5,5,6
310,ĐẬU THỊ THÙY MỸ,9.25,9.5,7.75,26.5,1,2
311,TRẦN THỦY TIÊN,8.25,7.5,8.75,24.5,3,4
312,HOÀNG NGỌC YẾN NHI,8.25,7.5,6.75,22.5,2,3
313,TRẦN HÀ TRANG,8.25,9.5,7.75,25.5,3,4
314,BÙI BÍCH PHƯƠNG,7.25,9.5,9.75,26.5,2,3
315,TRẦN DIỆU LY,9.25,8.5,6.75,24.5,5,6
316,ĐỖ DOÃN HƯNG,6.25,9.5,6.75,22.5,4,5
317,PHẠM VIỆT HÀ,9.25,8.5,8.75,26.5,2,3
318,NGÔ THỊ HỒNG MẾN,8.25,7.5,9.75,25.5,3,4
319,KHỔNG THỊ NGỌC,9.25,7.5,8.75,25.5,2,3
320,LÊ TIẾN ĐẠT,8.25,9.5,9.75,27.5,1,2
321,BÙI NGỌC ANH,6.25,9.5,9.75,25.5,4,5
322,LĂNG THỤC OANH,6.25,7.5,7.75,21.5,2,3
323,NGUYỄN QUANG HUY,9.25,8.5,6.75,24.5,1,2
324,LÊ THỊ THANH HUYỀN,7.25,6.5,9.75,23.5,5,6
325,BÙI HỮU NGHĨA,6.25,6.5,7.75,20.5,3,4
326,NGUYỄN HÀ MY,8.25,9.5,9.75,27.5,5,6
327,VŨ ĐỨC LINH,6.25,7.5,7.75,21.5,5,6
328,MAI THU HƯƠNG,8.25,6.5,9.75,24.5,2,3
329,NGUYỄN TRỊNH PHƯƠNG THẢO,6.25,6.5,6.75,19.5,1,2
330,NGUYỄN THỊ HỒNG VÂN,8.25,9.5,8.75,26.5,1,2
331,NGUYỄN PHƯƠNG THẢO,9.25,9.5,7.75,26.5,5,6
332,TRẦN THANH DƯƠNG,6.25,8.5,9.75,24.5,2,3
333,LÊ NGỌC ÁNH,9.25,6.5,6.75,22.5,5,6
334,TRẦN THỊ TRANG,6.25,9.5,7.75,23.5,2,3
335,VŨ LINH CHI,7.25,9.5,6.75,23.5,2,3
336,TRƯƠNG VĂN PHÚC,8.25,7.5,9.75,25.5,1,2
337,NGUYỄN THỊ HỒNG NHUNG,6.25,7.5,7.75,21.5,4,5
338,NGUYỄN QUANG MINH,9.25,6.5,6.75,22.5,1,2
339,CAO TRANG ANH,7.25,7.5,7.75,22.5,2,3
340,NGUYỄN THỊ BÌNH,9.25,9.5,8.75,27.5,5,6
341,TRẦN THỊ HƯỜNG,6.25,9.5,8.75,24.5,5,6
342,TRẦN MAI LY,7.25,7.5,9.75,24.5,3,4
343,NGUYỄN KIÊN CƯỜNG,9.25,6.5,8.75,24.5,5,6
344,PHẠM THU TRANG,8.25,8.5,7.75,24.5,4,5
345,NGUYỄN HOÀNG MINH,7.25,7.5,6.75,21.5,3,4
346,NGUYỄN THỊ ĐÀO,7.25,7.5,7.75,22.5,5,6
347,BÙI NGỌC NGÀ,6.25,9.5,7.75,23.5,3,4
348,LÊ NHẬT HOÀNG,6.25,9.5,8.75,24.5,4,5
349,ĐẶNG TRẦN THẢO,6.25,9.5,6.75,22.5,2,3
350,DƯƠNG THỊ THẢO,8.25,6.5,9.75,24.5,4,5
351,NGUYỄN THỊ QUYÊN,7.25,6.5,7.75,21.5,5,6
352,NGUYỄN TRUNG KIÊN,8.25,9.5,8.75,26.5,3,4
353,NGUYỄN VĂN THÁI,7.25,9.5,7.75,24.5,5,6
354,ĐỖ NGỌC PHƯƠNG LINH,9.25,7.5,8.75,25.5,3,4
355,VÕ VĂN TOÀN,7.25,9.5,9.75,26.5,3,4
356,HỒ NAM LONG,7.25,8.5,9.75,25.5,5,6
357,NGUYỄN THỊ THẢO,9.25,8.5,8.75,26.5,2,3
358,NGUYỄN THU UYÊN,6.25,6.5,8.75,21.5,3,4
359,VÕ ĐÌNH TÚ,9.25,7.5,7.75,24.5,4,5
360,NGUYỄN MINH ANH,9.25,8.5,6.75,24.5,1,2
